Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
2.211,-2.392917094773688,-0.005171936037378,-0.0048020728180337,0.0007506981502287,-2.348778332674676,0.2125152224221796,-0.1491523996372035,-0.151381245349655,0.0217697012861595,-0.150462776980692,-0.4685302984591654,-0.0049648820648634,-0.0050428595265699,0.0007249310528291,0.2077751369738802,-0.1522665402313471,-0.1413697572696869,-2.3932872646985293
2.245,-2.392181128914656,-0.0051748679853177,-0.0048124070478821,0.0007359658590324,-2.348053401621847,0.2060644169146824,-0.144518496748181,-0.1468909391897065,0.0215809475690152,-0.1937178831080261,-0.0056682797941237,-0.0048106446253902,-0.0048932593010533,0.0007186455540482,0.207837593668203,-0.1522107266489388,-0.1415215885820643,-2.392569184991413
2.279,-2.390995949779543,-0.0051726161784216,-0.0048183018509572,0.0011851791351125,-2.347334756067798,0.206223056620201,-0.1445240738979262,-0.1471079234634402,0.0213041803938157,0.0047639551206779,-0.0083113265825674,-0.0048108502395671,-0.004900462779357,0.000709429207114,0.2080152264537991,-0.1522403975990407,-0.1417504701068441,-2.391860493169021
2.313,-2.3894203082742744,-0.0051670511734125,-0.0048275387159973,0.0015756415052687,-2.3466253268606847,0.2126618739823838,-0.1489288307687267,-0.1518067060823047,0.046943854531416,0.1933578787442306,0.7699601843123217,-0.0049553114220905,-0.0050591016300996,0.0015632303558961,0.2079731714160468,-0.1519881409102325,-0.141959307731123,-2.39029903737575
2.347,-2.38785789768027,-0.0051640960404024,-0.0048398177841958,0.0015624105940044,-2.3450620965047886,0.2065731054911458,-0.1444341258629177,-0.1476862593421301,0.0457975777919209,-0.1828459006377774,-0.0344227249097625,-0.0048058407891445,-0.0049216801911097,0.0015250593404709,0.208153534376406,-0.1519032928727412,-0.1423140312400988,-2.388775400819187
2.381,-2.386108799705414,-0.0052666143562822,-0.0049513085873399,0.001749097974856,-2.3435370371643174,0.2067437189929355,-0.1443278329990056,-0.1480285174040497,0.045442694959533,0.0051235285822726,-0.0106571421137533,-0.0048023215557315,-0.0049330462667625,0.0015132417421524,0.2083319506311526,-0.1518180297894019,-0.1426656492805653,-2.3872639042641985
2.415,-2.383172381171032,-0.0054321005392471,-0.0051308766492113,0.0029364185343818,-2.3420237954221648,0.2247870831573134,-0.1566801771004657,-0.1611848468626614,0.0884951179964051,0.5418427676990345,1.2928655566628278,-0.0052094641888886,-0.0053752026217612,0.0029468874292802,0.219776470726969,-0.1598142499629482,-0.1508678315413281,-2.384982590167887
2.449,-2.380252487014729,-0.0054202963375415,-0.0051489718746035,0.0029198941563026,-2.339076907992885,0.2185509729920721,-0.1518710320344878,-0.1571614374602148,0.0854289538983257,-0.1872705755327703,-0.0920769999423268,-0.005049786715708,-0.0052407275862548,0.0028447841648142,0.2198770088353784,-0.159457667862316,-0.1513907235411217,-2.382140045377536
2.483,-2.3777430049324897,-0.005334537786049,-0.0050964208303249,0.0025094820822397,-2.3362321238280703,0.2186409241042308,-0.1514856504844315,-0.157657703238569,0.0851670643469438,0.0027012345993596,-0.0078645510925495,-0.0050369527422833,-0.0052572128417304,0.0028360632427532,0.219935103345385,-0.1590707578335868,-0.1518813473926063,-2.379311007703204
2.517,-2.3763579430186,-0.0051549412658991,-0.0049368284894331,0.0013850619138899,-2.333396060585317,0.2119564156718396,-0.1464202328569666,-0.1532535074788349,-0.0320379257648534,-0.2007359889606978,-3.5196693727266437,-0.004878449141586,-0.005100803024874,-0.0010668629279696,0.2106933220281455,-0.152126729272072,-0.145770827631037,-2.377527117179546
