Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x
-2.356055980797906,-2.357061552214786,8.486071096621616e-06,-5.999727226782271e-06,-6.001389494202516e-06,0.0001908665951202,-4.2679043599951234e-05,0.0008644531022695,5.752319446436712e-07,-4.337422807002174e-07,1.083778188437634e-05,-1.9978769683257205e-07,-1.99849489035424e-07,6.355857617505008e-06,-2.8216794067706624e-06
-2.3560496249402885,-2.357050714003712,6.7440496780720615e-06,-4.76807238189597e-06,-4.7694540380744594e-06,0.0002058729147774,-5.231295551199864e-05,0.0004506402299461,5.75263601805806e-07,-4.337479516461351e-07,1.08382110743932e-05,-1.5877421176542782e-07,-1.588254172281314e-07,6.855568062089993e-06,-2.8216794067706624e-06
-2.3560427693722263,-2.35703987536354,5.495408193743264e-06,-3.885250791569544e-06,-3.886429917349448e-06,0.0002231539257768,-3.749674127113505e-05,0.0005189492792606,5.752952434369547e-07,-4.337536147944708e-07,1.0838640172039504e-05,-1.293766966689801e-07,-1.2942027025112198e-07,7.431025728369385e-06,-2.822802506597985e-06
-2.356035338346498,-2.35702903629435,4.591308673441446e-06,-3.246028762688305e-06,-3.247062150101054e-06,0.0002448211428171,-2.7150135744799352e-05,0.0006506671783861,5.753268711747166e-07,-4.337592708794462e-07,1.083906918974975e-05,-1.0809091857162517e-07,-1.0812900820839109e-07,8.15254405581e-06,-2.8233828402343134e-06
-2.356027185802442,-2.357018196796215,3.622692977378385e-06,-2.5612021625389363e-06,-2.5620593066813554e-06,0.000249332715967,-2.9087558440332145e-05,0.0001354826771737,5.753584864215886e-07,-4.337649205038777e-07,1.0839498135073454e-05,-8.52865743814885e-08,-8.53180320299585e-08,8.30277944170125e-06,-2.8233828402343134e-06
-2.356018883023,-2.3570073568691976,2.971228664918894e-06,-2.100606958589848e-06,-2.1013448514605185e-06,0.0002585958257356,-1.9563492866651367e-05,0.0002781714645253,5.753900905584343e-07,-4.33770564291832e-07,1.0839927017336493e-05,-6.994900541422057e-08,-6.997598941960165e-08,8.611240996998746e-06,-2.823942503142746e-06
-2.3560102717820035,-2.356996516513353,2.52227294827478e-06,-1.7831877189286006e-06,-1.7838448320022025e-06,0.0002742049173348,-1.348215365297641e-05,0.0004687414894641,5.754216847271218e-07,-4.33776202735537e-07,1.084035584408838e-05,-5.9379111559005625e-08,-5.940307198667201e-08,9.13102374725062e-06,-2.823942503142746e-06
-2.356001140758256,-2.356985675728731,2.033526043009008e-06,-1.4376420068263972e-06,-1.4381980488806273e-06,0.0002722147524547,-1.4677084242215378e-05,-5.976471111481647e-05,5.754532700231358e-07,-4.337818363276524e-07,1.0840784622434542e-05,-4.787264234734612e-08,-4.789283116827916e-08,9.06475125674251e-06,-2.825076651552214e-06
-2.3559920760069994,-2.3569748345153725,1.7083126099639704e-06,-1.207714898023592e-06,-1.2082039142685217e-06,0.0002770644152275,-9.76616916051164e-06,0.0001456355187045,5.754848474300475e-07,-4.337874655075038e-07,1.0841213358592228e-05,-4.021620014444176e-08,-4.023389600703546e-08,9.226245027078755e-06,-2.826195931177188e-06
-2.3559828497619724,-2.357073076514032,1.487252566572068e-06,-1.0514237807179295e-06,-1.051868922497484e-06,0.0002896057993527,-6.638439741498575e-06,0.0003766181418969,-0.0001089110322114,-0.0001104599142502,-9.824199865970938e-05,-3.501178997028985e-08,-3.5027856770756434e-08,9.64387311844687e-06,-2.826195931177188e-06
