Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
-1.570595840802296,-1.5729806698302131,2.410458433563078e-06,4.832631484380625e-10,-2.410458385119332e-06,0.0002723566384043,-1.71941424072714e-05,0.0002316499413298,7.194833438049361e-07,1.1252234135422817e-07,1.104872855717254e-05,1.70215872760269e-11,-8.02682640322978e-08,9.06947605886438e-06,-3.354323689266801e-06,1.179,7.348788499752198e-09,3.3543156392450647e-06,-1.5729871691402684
-1.5705867713262371,-1.572969620623096,2.00991081192794e-06,4.211877990746739e-10,-2.0099107677968363e-06,0.0002870582253792,-1.20284571061603e-05,0.0004414890983466,7.195097704201624e-07,1.1253709172268785e-07,1.1049207117252992e-05,1.4816502695099718e-11,-6.69300283967045e-08,9.55903890513001e-06,-3.354571712454967e-06,1.213,7.312267554179088e-09,3.3545637428354625e-06,-1.5729761202146464
-1.570577212287332,-1.572958570937499,1.5853497841351088e-06,3.4737313448873307e-10,-1.5853497460778615e-06,0.0002836503076557,-1.274958041419914e-05,-0.0001023398715776,7.195361867625256e-07,1.1255184224900905e-07,1.1049685596953298e-05,1.2188402746963718e-11,-5.279214640400299e-08,9.44555524493624e-06,-3.354813328488977e-06,1.247,7.276815902003102e-09,3.354805436527969e-06,-1.572965395799803
-1.5705677667320872,-1.572947520773493,1.2970791211756626e-06,2.9646048282352725e-10,-1.297079087296149e-06,0.0002876736604097,-8.656776665448835e-06,0.0001208214040239,7.195625938399035e-07,1.1256659304594713e-07,1.1050164005599328e-05,1.0383007982773812e-11,-4.3192733486816827e-08,9.579532891644371e-06,-3.3550547383897595e-06,1.281,7.241357109524121e-09,3.3550469237163867e-06,-1.572954670934239
-1.5705581871991954,-1.5729364701311412,1.092873190229773e-06,2.602563772141683e-10,-1.0928731592410985e-06,0.0002998372501251,-6.132310238615301e-06,0.0003652729644272,7.195889926088301e-07,1.125813442418716e-07,1.1050642352072872e-05,9.104352430702736e-12,-3.639267609547849e-08,9.984580429168136e-06,-3.35530271671149e-06,1.315,7.2048152057859825e-09,3.355294981280983e-06,-1.5729436206013987
-1.5705482026187665,-1.5729283048955305,8.682194157702491e-07,2.154262250278964e-10,-8.682193890440216e-07,0.000293783544598,-6.746359593379096e-06,-0.0001817929587729,5.275932321225748e-07,-0.0002147547753464,8.165235610979593e-06,7.518595889691682e-12,-2.8911705567474054e-08,9.782992035114363e-06,-3.355544303536303e-06,1.349,7.1693432142426114e-09,3.35553664463865e-06,-1.5729328948209165
-1.570545337498108,-1.5739003742897293,0.2180174828422982,5.472005413169588e-05,-0.2180174759752242,-0.0603013896769008,0.5357652092579328,-1.811446796916288,-1.804213624922935e-05,-0.0059510047231631,-0.0002730634812282,-5.415878681816544e-06,-0.0072599789388105,-0.0020080362762407,0.1699249133109732,1.5870000000000002,-0.0004886341848063,-0.1699242107540158,-1.5736719196006137
-1.572553373774349,-1.574248502916659,0.2246210152091257,-0.000394669473223,-0.2246206684826336,-0.0621123404315092,0.1983042752801045,-0.054382905543796,-2.2999007600439214e-05,-0.0063507513063343,-0.0003481286269297,-2.0825296888194657e-05,-0.0074798494824645,-0.0020683409363692,0.183804398149048,1.621,-0.0005803549499176,-0.1838034819231286,-1.573953791578543
-1.574621714710718,-1.5747503134598524,0.2180148307727126,-0.000833989265061,-0.2180132356045391,-0.0602903479265756,-0.1983839170094028,0.0547144896376459,-3.3139710983799906e-05,-0.0065209442985096,-0.0005018105431933,-3.500840387442882e-05,-0.0072598082368027,-0.0020076685859549,0.1910965261384723,1.655,-0.000671795710324,-0.1910953452931688,-1.5743118124379272
-1.5766293832966731,-1.5751938532320928,0.2180111431042238,-0.0012716641044157,-0.2180074342494216,-0.0643116518418808,-0.0001107407954601,-0.1207598773364911,-2.75325830598867e-05,-0.0065289919092805,-0.0004435397722404,-5.006883694970065e-05,-0.0072595970197921,-0.0021415780063346,0.1917092377375653,1.689,-0.0007704059809921,-0.1917076897480713,-1.5748149545025802
-1.5787709613030076,-1.5755568563005933,0.2246045007989357,-0.0017911198182909,-0.2245973589981317,-0.0663958505296767,0.1979987295709302,-0.0625885491830591,-2.39836028678e-05,-0.006678527645708,-0.0003630030685004,-6.785966881030507e-05,-0.0074790205027117,-0.0022109818226382,0.1937120462293676,1.723,-0.000857177578628,-0.1937101497107659,-1.575221350394073
-1.580981943125646,-1.5761783123508948,0.2180179679054545,-0.0022206089769913,-0.2180066586721495,-0.0643580070972266,-0.197793780585023,0.0611964994729739,-3.51731520669e-05,-0.0070171159969279,-0.0006214560503015,-8.167425281292425e-05,-0.007259537513679,-0.0021431216363376,0.2013871319017497,1.757,-0.0009667696698369,-0.2013848113736937,-1.5755968985791882
-1.5831250647619834,-1.579525724609573,0.2178644923804582,-0.0026859261952146,-0.2178479351306057,-0.1400828102908337,-0.0046088746245121,-2.274018113922134,-4.74054629602e-05,-0.0073806036085072,-0.0033474122586782,-0.0001063097927506,-0.0072541020685409,-0.0046647575826847,0.212429534293071,1.791,-0.0011625321670758,-0.2124263532590331,-1.5762689084383728
-1.5877898223446685,-1.5842419207577263,0.2241891948701031,-0.003809574725027,-0.2241568250955556,-0.1437004121062918,0.1899310056950419,-0.1086366911548983,-8.064008325129999e-05,-0.0075096308077058,-0.0047161961481532,-0.0001446652530043,-0.0074640912834948,-0.0047852237231395,0.2209638362611237,1.825,-0.0030015968608327,-0.2209434483109144,-1.584380853713016
-1.5971501778288506,-1.588880982231199,0.2178046993643773,-0.0057393281961122,-0.2177290682868599,-0.1351035762761977,0.0052686898633911,0.0687017387165739,-0.0001164843547149,-0.0075142367969298,-0.0046390614734723,-0.0002073774723017,-0.0072499250570698,-0.0044989490899973,0.2211301452836913,1.859,-0.0039988445021946,-0.2210939854356823,-1.588880982231199
-1.601649126918848,-1.5935360496113278,0.224596773465253,-0.0069283400624318,-0.2244898856407154,-0.1397385662633539,0.2039661892154874,-0.139188888503189,-0.0001515567156414,-0.0075202127761919,-0.0046550673801291,-0.0002480531325597,-0.0074749511713324,-0.0046532942565696,0.2213301621395043,1.893,-0.0050325527938255,-0.2212729402459248,-1.5935360496113278
-1.6063024211754178,-1.5981947895243094,0.2181772731453106,-0.0077449952822932,-0.2180397614317186,-0.1361789655481837,-0.1927777873856559,0.1068949163714757,-0.0001868358663485,-0.0075259160276375,-0.0046587399129816,-0.0002743191528244,-0.0072601163264105,-0.0045347595527545,0.2215216756844417,1.927,-0.0060416441649022,-0.2214392723385526,-1.5980730860415504
-1.6108371807281725,-1.5999916381286112,0.2183585614550695,-0.0087409271496564,-0.2181835409770677,-0.0487137026968244,0.0054440933861519,2.6265844700107905,-0.0002109769667912,-0.0075063901570893,-0.0017968486043018,-0.0002969145463088,-0.0072652747337141,-0.0016221662998042,0.2208988318871959,1.961,-0.0064267518628088,-0.2208053232818936,-1.5998940761891076
