Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_angular_velocity,odom_yaw_world
1.494635841253518,1.5362449923800263,0.2180818014059377,0.0165931638021874,0.2174496240960021,-0.0406578158327862,-0.1981135171492749,0.0210267859576744,0.0002477071529674,0.0074288647131474,-0.0022787768111316,0.0005574543160499,0.007240696197837,-0.0013539052672317,0.2183624896535186,34.22,0.0070920182530216,0.2182472913114429,-0.0706849435201888,1.538312425040397
1.493281935986286,1.535756661681812,0.2180961738817598,0.0168886676539333,0.2174412885510426,-0.0407897074560947,0.0004316058805432,-0.0039607094086646,0.0002605952754495,0.0074582338002709,-0.0004883306982144,0.0005673103030208,0.0072404107131223,-0.0013582972582879,0.2194877241646966,34.254,0.0076064052375348,0.2193558835736127,-0.0549826281287011,1.5361341213220547
1.4918827268252794,1.535711812589864,0.2180144678477994,0.0171864558380585,0.217335993168839,-0.0011773782544386,-0.1996312038124039,0.0015377601440408,0.0002618646527167,0.0074759016602256,-4.484909194801823e-05,0.0005724511221317,0.007237277330307,-3.920669587280656e-05,0.2200069563690301,34.288,0.0077174739557618,0.2198715567018763,-0.0011903433020302,1.5357108109979285
1.4918435201294065,1.5357019233599716,0.2179917060485964,0.0171931816095789,0.2173126282849612,-0.0005539802573349,-0.0006835375136025,0.0187206605736828,0.0002617828325512,0.0074739946041065,-9.889229892312557e-06,0.0005725999632293,0.0072365052194006,-1.8447542569255405e-05,0.2198482775768633,34.322,0.0077138604997228,0.2197129070166437,0.0009361548424792,1.5357019233599716
1.4918250725868372,1.5349634915947867,0.2127844376455376,0.0167863932713697,0.212121271693969,0.069307165465118,-0.1563744265182829,2.097932303977568,0.0002617798701232,0.0073436126869081,-0.0007384317651848,0.0005508354781757,0.007064277106883,0.0023079286099884,0.2137152490662515,34.356,0.0076563845978733,0.2135780594029718,0.0013845956164583,1.5349634915947867
1.4941330011968257,1.536433626976557,0.2065213368560239,0.0158171083026493,0.2059147436725733,0.0674932879258973,-0.1880811047902011,-0.0544707969735925,0.0002527411452747,0.0071355187949948,0.0014701353817703,0.0005190039193225,0.006857547069007,0.0022475264879323,0.2074204631103917,34.39,0.0071408006175955,0.2072975095930221,0.0717648525142554,1.5363628297033731
1.4963805276847582,1.538783323825573,0.2064580025268629,0.0153495611765805,0.205886613889948,0.0682891356870033,-0.0019019318066375,0.0238993321653436,0.000235046334139,0.0070590448340686,0.0023496968490159,0.0005033448074045,0.0068565994885109,0.0022740282183772,0.2077235234773137,34.424,0.0066797470787511,0.2076160956785239,0.0690860012915515,1.5386338700803086
1.4986545559031352,1.541370954553527,0.2127408285117031,0.0153341910621935,0.2121874706487496,0.0776270802919017,0.1886734529982034,0.2804187569038573,0.000217582250841,0.0070577711811676,0.0025876307279539,0.0005014957228468,0.0070664948672985,0.0025849817737203,0.2076960612569121,34.458,0.0061422208027272,0.207605219070344,0.0761898111402483,1.5412188932224191
1.5012395376768557,1.5439552553482063,0.2065158106882572,0.0143529965065419,0.2060164351587302,0.075315195332042,-0.1869374721755498,-0.0694259747705625,0.000199367860811,0.0070596131315977,0.0025843007946793,0.000469351679178,0.0068609394354707,0.002507996004557,0.2077331411210998,34.492,0.0056224483893574,0.2076570393561166,0.0761463074488891,1.5437272946567266
1.5037475336814128,1.5463980582010524,0.2065500317668701,0.0138385562747404,0.2060859286393079,0.0752603522462936,0.0010276600184052,-0.001646939511965,0.0001811871439343,0.0070630431112246,0.002442802852846,0.0004522242028322,0.006863231674208,0.0025061697298015,0.2077738388630972,34.526,0.0051028400897118,0.2077111675835632,0.07610966323683,1.5462342681650123
1.5062537034112145,1.5421384446160462,0.2149585578581498,0.0138643586534342,0.2145109814335491,-0.1684944118385787,0.2525082910294181,-7.319962885431601,0.0001863360173272,0.0071657024373772,-0.0042596135850061,0.0004817207379562,0.0071418829665192,-0.0056108639142246,0.2120598639296965,34.56,0.0059660322992658,0.2119759239830917,-0.1645288968441808,1.542658896664244
1.5006428394969895,1.541012607537387,0.2180274969718863,0.0152828462532785,0.2174912045261245,0.0672444297526377,0.0921603337458412,7.079244492228721,0.0002128604657849,0.0072169232857354,-0.0011258370786593,0.0005008098282556,0.0072430208349599,0.0022392395107628,0.214173137936699,34.594,0.0063771718158007,0.2140781742571719,-0.0061207235991755,1.5410161471533548
