Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
2.5943288478588844,2.588686983991816,0.2180740051575789,-0.1862246244159877,0.1134753761244793,-0.1653599986256111,-0.0013352878771165,0.0087215719943992,-0.0064183466053924,0.0039341062265374,-0.0056418638670683,-0.0051831358888483,-0.0050862209215081,-0.0055064879542328,0.2213307613108385,212.252,-0.1884866411089873,0.1160176367018702,2.589838173801478
2.588686983991816,2.583097213660916,0.2246220172325699,-0.1911538238504,0.1179629867924645,-0.1701758405018764,0.1966369992489799,-0.1446198761641213,-0.0063696714862673,0.0039524163994049,-0.0055897703309004,-0.0053679520126239,-0.0052090347045255,-0.0056668554887124,0.2201618114380853,212.286,-0.1868523028668876,0.1164364209731642,2.5843270619836662
2.583097213660916,2.5750641091283346,0.2180049650151837,-0.1848798416149238,0.1155231965265511,-0.2546509498556445,-0.1987102767983853,-2.5367900706837263,-0.0063484156154436,0.0039970628732115,-0.0080331045325809,-0.0052454402815507,-0.005018598340335,-0.0084798766301929,0.2210955122110436,212.32,-0.1868091538856346,0.1182605832236464,2.577221499936333
2.5750641091283346,2.566273594264946,0.2179021268665388,-0.1838591048319249,0.1169494183968626,-0.2540427263442568,-0.0030882326920372,0.0182649703119421,-0.0063536114297271,0.0040783868647213,-0.0087905148633886,-0.0052852636149805,-0.0049716450181337,-0.0084596227872637,0.2222100468850985,212.354,-0.1867174408760612,0.120473657740488,2.568585697806055
2.566273594264946,2.55767603121823,0.2244889450174071,-0.188350432723625,0.1221449996023236,-0.2622536645313724,0.1978023468729214,-0.2465747203338018,-0.0063204083562311,0.0041353453199142,-0.0085975630467158,-0.0054888553461018,-0.0050749326105454,-0.0087330470288947,0.2221857702523858,212.388,-0.1856378401742658,0.1220864808161808,2.55985176141915
2.55767603121823,2.5494739224249097,0.2179161732757628,-0.1818096069967405,0.1201362783627121,-0.239057327422873,-0.1973805327821104,0.6965866999549365,-0.0062836486411721,0.0041867209721588,-0.0082021087933203,-0.0053690842847494,-0.0048817029608013,-0.0079606090031816,0.2220752182345472,212.422,-0.1845676485214587,0.1234997395672599,2.551886645259612
2.5494739224249097,2.541267689950211,0.2179464284975065,-0.1808432362448412,0.1216403288359221,-0.2391504402716357,0.0009085652175272,-0.0027961816445248,-0.006250037974179,0.0042387742381246,-0.0082062324746985,-0.0054085333815245,-0.0048394709717435,-0.0079637096610454,0.22211384003523,212.456,-0.1836102480694671,0.1249873383149848,2.543923185334244
2.541267689950211,2.5339590906697254,0.2245885768413986,-0.1853197320124768,0.126872478396493,-0.2465316997236831,0.1994639142309955,-0.2216594430044272,-0.0062070840083001,0.004283731454526,-0.0073085992804857,-0.0056135081492512,-0.0049417259851892,-0.0082095056007986,0.2221566471810489,212.49,-0.1826131716639336,0.1265148426927201,2.5357136483643554
2.5339590906697254,2.5299266756658074,0.2180225601572753,-0.1789968219658394,0.1244747944913438,-0.1174571000318421,-0.1971776782019031,3.876114104860089,-0.0061632699610898,0.0043032419822837,-0.0040324150039179,-0.0054783779626648,-0.0047641477642899,-0.0039113214310603,0.2210975433699211,212.524,-0.1811915081093043,0.1267034374959497,2.531350668287209
2.5299266756658074,2.5258891350649426,0.2180578145405249,-0.1785222965208484,0.1252158142053641,-0.1176206371750849,0.0010586901876776,-0.0049110253226057,-0.0061469968209579,0.0043288116413351,-0.0040375406008648,-0.0054978718927557,-0.0047434355962016,-0.0039167672179303,0.2211393461572687,212.558,-0.1807279541034747,0.1274363253724644,2.527433420398129
2.5258891350649426,2.5207452705427817,0.2247043601197867,-0.1834413016111743,0.1297741820241644,-0.1213018560365485,0.1995959633411929,-0.1105471129568651,-0.0061310616553058,0.0043559007806406,-0.0051438645221608,-0.0056848503623912,-0.0048654423180065,-0.004039351806017,0.2211844075177558,212.592,-0.1802483353334769,0.1281915743662239,2.5233932324570567
2.5207452705427817,2.5124995846177938,0.2180913095720587,-0.1773923754370097,0.1268690838922964,-0.2400171865448359,-0.1985901065383762,-3.5650249401888097,-0.0061308712754934,0.0044203977946457,-0.0082456859249879,-0.0055458430687816,-0.004688964435622,-0.007992572311943,0.2223051338198801,212.626,-0.1801899517885645,0.1301965967186146,2.515890965638425
2.5124995846177938,2.504279429261904,0.2181243651369715,-0.1763669615907881,0.1283469264362818,-0.2399862149296374,0.0009926596069889,0.0009300785344876,-0.0060928497590946,0.0044698069093025,-0.0082201553558896,-0.0055839862520627,-0.0046451964248451,-0.0079915409571569,0.2222712629959201,212.66,-0.1791168291751967,0.1316118378415288,2.5079023596744627
2.504279429261904,2.495609927072961,0.2247070302172921,-0.1805964539405307,0.1337092751202429,-0.2466977080048708,0.1976776300396584,-0.2015463385955972,-0.0060235614741621,0.0044949862321286,-0.0086695021889426,-0.0057910897132369,-0.0047386099652841,-0.0082150336765622,0.2220945077573806,212.694,-0.1778907347631229,0.1329693831730801,2.49970767875355
2.495609927072961,2.486365515695984,0.2065782751885701,-0.1649545226025713,0.1243567016804578,-0.1991304358025014,-0.5444070579195793,1.4284466126837654,-0.0058599939314429,0.0044594628868006,-0.0092444113769776,-0.0053560756137877,-0.0043166769430709,-0.0066310435122233,0.216747658133619,212.728,-0.1724082896811921,0.1313580182387596,2.490518422731128
2.486365515695984,2.479177438131664,0.2065856124668571,-0.1638037038809381,0.1258807446482281,-0.1990402191832853,0.0002203386872973,0.0027092077842689,-0.0056753497189483,0.0043926307332202,-0.00718807756432,-0.0053847665502576,-0.0042812260806616,-0.0066280392988034,0.2103452464419792,212.762,-0.166297018733341,0.1288038208328455,2.482569556131622
2.479177438131664,2.4716690135851334,0.2127414103018726,-0.1677485421230663,0.1308408738614029,-0.2044797708172175,0.1848587938443082,-0.163349898916882,-0.0056331667480951,0.0044234808600613,-0.0075084245465304,-0.0055747158119383,-0.0043714413891003,-0.0068091763682133,0.2100574773207027,212.796,-0.1651914918528243,0.1297532843429244,2.4757732650125246
2.4716690135851334,2.4635143550417826,0.206643436886962,-0.1619814011909987,0.128310310094928,-0.2612695218395479,-0.1831223247720879,-1.7053979285985117,-0.0055230761884701,0.0044117625501118,-0.0081546585433507,-0.0054476812169908,-0.0042040157117936,-0.0087002750772569,0.2103963309938766,212.83,-0.1643666609774344,0.1313400809152104,2.4674204783458515
2.4635143550417826,2.4573595529179872,0.1950462283706848,-0.151898030482392,0.1223520311935999,-0.1813395148657817,-0.3482645200083247,2.4003005097227086,-0.0052447908378734,0.0042489579604745,-0.0061548021237953,-0.0051710584415566,-0.0039300843849559,-0.0060386058450305,0.1980081565834079,212.864,-0.1538755240968269,0.124617627795935,2.4608683827046
2.4573595529179872,2.4502670949111174,0.2008851098712061,-0.1556666783577556,0.1269752441109274,-0.1870895712746308,0.17534178680244,-0.172674366632105,-0.0052896293114095,0.0043410936030052,-0.0070924580068698,-0.0053505879674513,-0.0040149879429741,-0.0062300827234452,0.1983989793713786,212.898,-0.153394625988648,0.1258262442156145,2.45460877025843
2.4502670949111174,2.440180755779532,0.2297296081819756,-0.1769840508826708,0.1464661688193019,-0.323592945025911,0.8662011504735598,-4.099200412951356,-0.005640591013156,0.0047134292482169,-0.0100863391315857,-0.0061576623601074,-0.0045392803458618,-0.0107756450693628,0.2164051970180018,212.932,-0.1661389536679172,0.1386688767190743,2.446074286997269
2.440180755779532,2.431770041418367,0.2180022440357411,-0.1665388588341795,0.1406761774531426,-0.2435586957633179,-0.3521730974845191,2.40343090878658,-0.0057498891691341,0.0048959616966044,-0.0084107143611644,-0.0058837503924749,-0.0042521954021241,-0.0081105045689184,0.22220347642345,212.966,-0.1692832807568605,0.1439359433597481,2.4369437530933844
2.431770041418367,2.423930477632087,0.2246173433846391,-0.1703671991433232,0.1463829512109662,-0.2515507265752757,0.1986516320990375,-0.2400009252840185,-0.0057087705300693,0.0049425629003474,-0.00783956378628,-0.0060981974066563,-0.0043311007871465,-0.0083766391949566,0.2222342118543356,213.0,-0.1680948809340657,0.1453690335741418,2.428566954243552
2.423930477632087,2.416442900037261,0.218049447059471,-0.1642665040016871,0.1433948291466773,-0.2181880802642372,-0.1972341238789212,1.0018812706017566,-0.0056698143821776,0.0049843886092963,-0.0074875775948259,-0.0059525904158553,-0.0041580323405992,-0.0072656630727991,0.2220378209817415,213.034,-0.1668847422048703,0.1464591300176737,2.4212883268889622
2.416442900037261,2.408956922234538,0.2180844705265736,-0.1632144410084766,0.144643985464818,-0.2182723554505622,0.0010517557688468,-0.0025307863761254,-0.0056328260335045,0.0050271672047814,-0.0074859778027231,-0.0059836106012303,-0.0041153259569119,-0.0072684694365037,0.222072596230666,213.068,-0.1658417820725617,0.1476913718387955,2.414019875480455
2.408956922234538,2.3995755825381875,0.2247054974677585,-0.1670492411830289,0.1502900915310356,-0.2247446191369043,0.198829637873419,-0.1943622728631269,-0.0055826135407592,0.0050628286997198,-0.0093813396963504,-0.006196380905507,-0.0041946749399689,-0.0074839958172589,0.2220535808798439,213.102,-0.1647180404925773,0.148915277650908,2.406538025528037
2.3995755825381875,2.3879131830790707,0.2181937190710471,-0.1608321113050163,0.1474500966945287,-0.3321050046623555,-0.1955489008021435,-3.224035601364901,-0.0055301462131256,0.0051238628171337,-0.0116623994591167,-0.0060543031615375,-0.004017146210029,-0.0110590966552564,0.2235451090455457,213.136,-0.164268417406931,0.1516189395188054,2.3962173742360315
2.3879131830790707,2.377034063753627,0.2065663293135068,-0.1506231791378378,0.1413587857632732,-0.2262226342712982,-0.3491708635897978,3.1796507624942123,-0.0053942372941493,0.0051163172131751,-0.0108791193254438,-0.0057667951673394,-0.0037496394702811,-0.0075332137212342,0.219569055306376,213.17,-0.1596533824706,0.1507360856392082,2.38491596944217
2.377034063753627,2.3683395552012483,0.212839313060455,-0.1536035739111356,0.147331311219892,-0.232911964267664,0.1883778902987441,-0.2008807806716436,-0.0053241765243872,0.0051502579956204,-0.0086945085523786,-0.0059712807568506,-0.0038179715695153,-0.0077559684101132,0.2147399943748946,213.204,-0.1545938966796131,0.149043591923782,2.374471833745261
2.3683395552012483,2.3594017121341726,0.2180222671988307,-0.1560259520591123,0.1522813556498823,-0.2621266629699288,0.155644268419692,-0.8773182793472932,-0.0053862306848069,0.0053008140874692,-0.0089378430670756,-0.0061487136307206,-0.0038603938377913,-0.0087288178768986,0.2223753143595661,213.238,-0.1588181693923138,0.1556520783908463,2.366262164490448
2.3594017121341726,2.3504265892034435,0.217983233186733,-0.1546309816977942,0.1536422775466376,-0.2611135687165718,-0.0011721925554874,0.030423250851563,-0.0053401366497982,0.0053505960468134,-0.0089751229307291,-0.0061810047524183,-0.0038059992904904,-0.0086950818382618,0.2223396062661297,213.272,-0.1574316395754757,0.1570037559269048,2.3575552892327094
2.3504265892034435,2.343262936643679,0.2245967140371036,-0.1578952002330091,0.1597272353095816,-0.2693960009706982,0.1986030285396563,-0.2487216893131065,-0.0052509457881044,0.0053507680162543,-0.0071636525597646,-0.0064029208396971,-0.0038650648495553,-0.0089708868323242,0.2223354465114004,213.306,-0.1560126329683057,0.158408046290965,2.3485761395627174
2.343262936643679,2.338019509014495,0.2181792386778163,-0.1522681469526801,0.1562580929540245,-0.1607672082771843,-0.1927169777563728,3.262125906712128,-0.0051528056365643,0.0053140833869129,-0.0052434276291837,-0.0062467132677483,-0.0037099904137231,-0.0053535480356302,0.220109193446048,213.34,-0.1534415174938372,0.1578092448136617,2.3421625867089406
2.338019509014495,2.333100679911155,0.2180062051229674,-0.1513266201678574,0.1569297916289013,-0.0905479002295959,-0.0051962028483154,2.1086879293570098,-0.0051101245889166,0.0053237753551271,-0.0049188291033401,-0.0062572212974098,-0.0036809007236108,-0.0030152450776455,0.2166181848806244,213.374,-0.150245587165699,0.1560439090711672,2.3372658966121747
2.333100679911155,2.3286736686799463,0.2246231667362764,-0.1551224886035424,0.1624579347525903,-0.0934108687857815,0.1987075559552232,-0.0859750317172845,-0.0051633662998433,0.0054302267366717,-0.0044270112312085,-0.0064587276104927,-0.0037728591637803,-0.0031105819305665,0.2184105974368111,213.408,-0.1507307024878511,0.1580615209348046,2.332458653807256
2.3286736686799463,2.324347547944114,0.2179909460040472,-0.1498429031653871,0.1583261093777898,-0.1257111137552888,-0.1991657877546302,-0.9699773264116291,-0.0051571476224809,0.0054711447902662,-0.0043261207358322,-0.006281341910173,-0.0036385681134654,-0.0041861800880511,0.2211191847019215,213.442,-0.1519113806380866,0.1606755310427597,2.3281643499054216
2.324347547944114,2.320017400341588,0.2180083969829222,-0.1491685057931842,0.158985590650512,-0.126141238534582,0.0005240534196708,-0.0129166600388353,-0.0051342933569746,0.0054943651461758,-0.0043301476025261,-0.0062970484289695,-0.0036124855390161,-0.0042005032432015,0.2211612190050092,213.476,-0.1512641606145516,0.1613426121809014,2.323965624069746
2.320017400341588,2.3127456718155845,0.2246523150234384,-0.1530036425055953,0.1644948267436098,-0.1300530049208363,0.1995170582737597,-0.11747046204968,-0.0051176919333968,0.0055364408748306,-0.0072717285260033,-0.0065047739898333,-0.003694864434896,-0.0043307650638638,0.2212018184998025,213.51,-0.1505916986284819,0.1620258769820673,2.3196351776418425
2.3047672289041885,2.3047672289041885,0.2180584396868804,-0.1460606420285714,0.1619128530070371,-0.2327109697637246,0.0003695394009563,-0.0001064786207061,-0.0050827478614847,0.0055864176949373,-0.007978442911396,-0.006362690262538,-0.0034990077304858,-0.007749275293132,0.2221143650038898,213.544,-0.1487387638726403,0.1649593018375142,2.304533014419337
2.3047672289041885,2.296850343905702,0.2180584396868804,-0.1460606420285714,0.1619128530070371,-0.2327109697637246,0.0003695394009563,-0.0001064786207061,-0.0050353971516845,0.0056225249216892,-0.0079168849984863,-0.006362690262538,-0.0034990077304858,-0.007749275293132,0.2216820182383686,213.578,-0.1471420123142989,0.1658075553837493,2.2966211322980463
2.288136688352371,2.288136688352371,0.2067368503601854,-0.1359052517804821,0.1557879579278624,-0.1702427490279554,-0.5376516186235742,2.071383610801849,-0.0049040910532096,0.0055700715015551,-0.0087136555533313,-0.0060803779116815,-0.0032284632660744,-0.0056690835426309,0.2159516078595234,213.612,-0.1419628749660039,0.1627318010362451,2.288136688352371
2.288136688352371,2.2797387308582167,0.206520481442106,-0.1357630145729508,0.1556249116598753,-0.2405209787392161,-0.0064975651074882,-2.110457348686508,-0.0047023255652605,0.0054333039752791,-0.0083979574941541,-0.0060959209343209,-0.0031834635413873,-0.0080093485920158,0.2107393785233438,213.646,-0.1372370513691928,0.1599283508071496,2.2799832263282704
2.2797387308582167,2.271502896627424,0.2127440627172032,-0.138503057799907,0.1614835570623118,-0.2471825914481056,0.1868943325855015,-0.2000484296963826,-0.0046401490188865,0.0054522431084291,-0.0082358342307924,-0.0063060453771025,-0.0032282982983362,-0.0082311802952219,0.2105521501088598,213.68,-0.1357938888351291,0.1609106201296124,2.2717434908792367
2.271502896627424,2.2628171187912027,0.218026243477261,-0.1405741517845387,0.1666563851007917,-0.2910695125771591,0.1586240468485823,-1.3179255594310335,-0.0047643253039182,0.0056926208382577,-0.0086857778362214,-0.0064919999577575,-0.0032504001434223,-0.0096926147688193,0.2226602043891644,213.714,-0.1421788280271303,0.1713556170058518,2.263404038333342
2.2628171187912027,2.252851602359715,0.2180183630185138,-0.139116298556878,0.167865011509564,-0.2903440327473547,-0.0002366504128295,0.0217861810752044,-0.0048029781763156,0.0058506640142099,-0.0099655164314875,-0.0065229252415721,-0.0031872876428417,-0.0096684562904869,0.2226468030462617,213.748,-0.1405062848982365,0.1727124280728414,2.25373140129737
2.252851602359715,2.242939231292232,0.2246418456830859,-0.1416119328987278,0.1743846876666343,-0.2994876029697018,0.1989033833204853,-0.274581688358771,-0.0047428041546189,0.0058962441340708,-0.0099123710674833,-0.0067530202708555,-0.0032179547429745,-0.009972937178891,0.2226561924592408,213.782,-0.1387818162832141,0.1741131457115708,2.2437532252285366
