odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
-0.1533665513641007,-0.1574088391318165,-2.343188119836177,-0.0052105275359695,-0.0053488199435576,0.0001208555179816,-0.0047932926691196,-0.0054388670101055,9.56562400503902e-05
-0.1554446764653977,-0.1553842199626526,-2.3563889910983984,-0.0052712649386847,-0.0052654356041856,-0.001103539235348,-0.0049046722037683,-0.0053650168692756,-0.0005905957584303
-0.1516178481322621,-0.1545632336300604,-2.346575036792528,-0.0051469818392068,-0.0052470574643859,0.0004523531181197002,-0.0048387837841495,-0.0054068597355667,0.0011560648379061
-0.1011918859062949,-0.0969838301368261,-2.377425262459206,-0.0034444321033024,-0.003294755835534,-0.0030369680898845,-0.0029168360157605,-0.0035509265706578,-0.0029679196312779
-0.1441297293401472,-0.1522941394902366,-2.328658426498585,-0.004870368518397,-0.0051367515826118,0.0027143815089436,-0.0047919444016483,-0.005453673449347,-0.0012808106645692
1.477559053497668e-06,1.474489669917034e-06,-2.3572342367419465,3.0180346097599675e-07,-2.28266563928603e-07,5.7143551721594034e-06,1.8081109562635534e-07,1.8080450307018444e-07,6.071189367787556e-07
-0.1497071070541867,-0.1512622092510525,-2.3510275569747856,-0.0050242157967405,-0.0050794829824896,-0.0013369292323095,-0.0046803175632035,-0.0050444354117994,-0.0020716268053357
-0.1478825703189518,-0.1464004707588744,-2.361230754001477,-0.0050274028898275,-0.0049782200484118,-0.0001356328492163,-0.0047060561670178,-0.0049953690044722,-0.0001305746284549
-0.1551799482368092,-0.156357202341282,-2.3524156519423864,-0.0052673892443231,-0.0053044017665055,0.0003379858417265,-0.0048916986404664,-0.0053832170887859,0.0004573202461884
-0.1492841616793346,-0.1459551089485729,-2.3674697912241154,-0.0050750911474286,-0.0049626986511674,-0.0002826202538672,-0.0047072763553162,-0.0050006395076103,-9.634076307705188e-05
-0.1469308706507708,-0.1462925241195503,-2.3583714840276464,-0.0051929759871989,-0.0051497013342948,0.0025369334738147,-0.0047362161572962,-0.0049859016438575,0.0066644074104682
-0.137659119225978,-0.1440039682683361,-2.333671921756925,-0.0049288456553666,-0.0051429348700123,0.0013307535394875003,-0.0043298849628277,-0.0048715545836472,0.0058222888040702
-0.156357665605419,-0.1529589027252684,-2.367182023529151,-0.0053123582506828,-0.0052075176703876,0.0031641269612188,-0.0049381617384667,-0.0052985640038574,0.0030699769693552
-0.0938575248767357,-0.0882806533377549,-2.38680383178536,-0.0031082143390244,-0.0029314612508144,-0.0018560915962271,-0.0026863368587303,-0.0032401432865865,-0.0027072958301382
-0.1548616353152387,-0.1553738762645569,-2.354543355925956,-0.0051656938350242,-0.0051680687801324,0.0037687644300175003,-0.0049719395905884,-0.0052800153484818,0.0020652569057187
-0.1482806228445515,-0.1530210836710211,-2.3404625190898547,-0.0049020690579304,-0.0050595416859198,0.0028610345522457,-0.0047508263783431,-0.0057794316514836,-0.0010104437806255
-0.1477903466041261,-0.1463464444204653,-2.3611033986649126,-0.0050211182356794,-0.004972770042239,-0.00011488528337050003,-0.004709130130785,-0.0050000585024391,-0.0001542646341257
-0.1322352258248584,-0.1240541704808015,-2.388104816703089,-0.004546350577517,-0.0042600772731769,-0.0050183709732527,-0.0051337833037326,-0.0051330632588814,-0.0001986608492278
-0.144306240211141,-0.1500591436631817,-2.3366535675693885,-0.0048979835629929,-0.0050954708097519,-0.0005646935757437,-0.0047244378602706,-0.0052574692485934,-0.0010259586282965
-0.1552700526800426,-0.1551927011476951,-2.3564436393408124,-0.0052975443823908,-0.0052930272586446,-0.0004262615622172,-0.00490255195861,-0.0053693750139624,-0.0002980423615698
-0.143514468174517,-0.1498054936785965,-2.3347501224018345,-0.0048962936504591,-0.0050977975370223,0.0024540417770269,-0.0046498646968602,-0.0053597769605891,0.0028095139251848
-0.1553686176689053,-0.1538634103990019,-2.3610620176336403,-0.0052010432318095,-0.0051516868212554,0.0006472430011728001,-0.0051183308694104,-0.0054358304926671,-8.282965275000498e-05
