Time,delta_position_x,delta_position_y,delta_yaw
5.215,-0.005236057514870551,-0.005290307769300728,0.0008211637690616057
5.249,-0.0052624762553978854,-0.00532086423020417,0.0005235004724433169
5.283,-0.005263217790438257,-0.005325965646415409,0.00012160947194628235
5.317,-0.005272599322073135,-0.005331283876049975,-0.0009382327308040672
5.351,-0.005267788035413168,-0.005322244806870713,-0.0007709937641324771
5.385,-0.005209842501287754,-0.005254904680327854,-0.0006650336025986192
5.4190000000000005,-0.004936097882217938,-0.004959280225721674,-0.002893568276496339
5.453,-0.005007728049695959,-0.005009373701031494,-0.0008387956266213692
5.487,-0.005046488135927563,-0.0050400028573587274,-0.0011185246969400708
5.521,-0.005171085845127377,-0.005152477174501402,-0.0015929307313449215
5.555,-0.005173312562797405,-0.005140331968483958,-0.001811561118274518
5.589,-0.00520975906117449,-0.00515643931025167,-0.0016854785952808982
5.623,-0.005303671576982083,-0.0052333266931429145,-0.00046174182882774417
5.657,-0.005323518687524897,-0.0052518226155475745,-0.00018628384184538052
5.691,-0.005333236727973367,-0.0052575699851944435,-0.0008475639507850018
5.725,-0.005348019443794705,-0.005258023021387226,-0.0014128543475773192
5.759,-0.005357279827626238,-0.005252190526923939,-0.0013754762060580463
5.793,-0.005362295875519618,-0.005242559971679217,-0.0012287784526661127
5.827,-0.005357803476617962,-0.0052321368780577915,-0.001021615323713032
5.861,-0.005333279922588918,-0.005196263297481796,-0.0004957108759109374
5.895,-0.005353002332929346,-0.005212735799084989,7.95692975708029e-05
5.929,-0.005351271044035211,-0.005213244710750131,0.0005796390876953161
5.963,-0.005347663506898415,-0.005215568751898103,0.0005280918802146317
5.997,-0.005203791961943094,-0.0050914308861018664,0.002525219525537637
6.031,-0.0050118774545594436,-0.004936897100949578,0.0038009712374416074
6.065,-0.005033852321557397,-0.004976820342643573,-0.0001412805687817098
6.099,-0.005142757540939291,-0.005081315905506534,-0.000945978650356949
6.133,-0.005301823304973197,-0.005229655896814012,0.00048329455073137245
6.167,-0.005317901578417938,-0.005253913085085937,0.0007731932402705866
