Time,delta_position_x,delta_position_y,delta_yaw
169.282,0.00018701248489749744,0.006480312529964838,-0.0032375575171272875
169.316,0.0002170889360549877,0.006569727997123742,-0.005780829687320077
169.35,0.00026741116351214345,0.006534386358470146,-0.009582800639444278
169.384,0.00033133917045802264,0.006399200311444808,-0.011066010589216633
169.418,0.00037816016704417255,0.006037846040515937,-0.01060217305862765
169.452,0.000398590344337979,0.005416400247947761,-0.012433264440965484
169.486,0.0004398999262641423,0.004890024004438498,-0.018290242317495094
169.52,0.0005318790379713612,0.004967121709646527,-0.013867494942760626
169.554,0.0005710223391137692,0.004770495267594654,-0.014380503183972989
169.588,0.0005884150890470563,0.00425874463879139,-0.019854256441529824
169.622,0.0006985096229537024,0.004446983511564362,-0.01536650377292514
169.656,0.0007353790350954625,0.004312003153039701,-0.01442568215612394
169.69,0.0007245536621112159,0.0038275810294614576,-0.01986051755816054
169.724,0.0007725427937321783,0.0036879778429828036,-0.0184628407377867
169.758,0.0008349678745321887,0.003652871133058788,-0.01816341493618134
169.792,0.0009013029045089604,0.003637789749569409,-0.01812358610438802
169.826,0.0009193719042426274,0.0034822924653559184,-0.012460417731244844
169.86,0.0007904394575694029,0.0028730050772716176,-0.008983823341077056
169.894,0.0005788331421926474,0.0020435287637059485,-0.005802151597557702
169.928,0.0006082538653935377,0.0020949815493769286,-0.008174487104907646
169.962,0.0008368422513017615,0.0027708645766848505,-0.012308079852803687
169.996,0.0011018945798511037,0.003472369829088384,-0.015901396187795177
170.03,0.0010408568702197085,0.003112341282690778,-0.013889261762486836
170.064,0.0008077613674669637,0.00233294986243604,-0.007887984239087986
170.098,0.0005518387149742177,0.0015698843041516142,-0.0020706173062527977
170.132,0.0002828449776797193,0.0008044788067411712,0.00311735333625851
170.166,2.5848896127111942e-05,6.748778612641892e-05,0.00555397803312907
170.2,-0.0001847103799726968,-0.0005439141178431584,0.006584572420416324
170.234,-0.0002938205823944662,-0.0008816376201605802,0.0008047330117364471
170.268,-0.0003020689857214931,-0.0008996198473059103,-0.010495820585686651
170.302,-5.817610953007257e-05,-0.0001782254134610195,-0.013265695102449236
170.336,0.0002892931998257353,0.0007719027889601104,-0.014328393986890562
170.37,0.0006553748295951012,0.0016872907264333659,-0.015409204422055732
170.404,0.0009740848054281548,0.0024015371754610992,-0.01612566013514471
170.438,0.000882523138603486,0.0020894972463876282,-0.012861157266844666
170.472,0.0006054077098538446,0.0013861881424432898,-0.010849382555967011
170.506,0.00026866249508916695,0.0005957133390348535,-0.009121048368528895
170.54,-5.150716992941007e-05,-0.00011823763281015864,-0.007442497790488555
170.574,-0.00034800588898020735,-0.0007542157645588077,-0.006045717768761615
170.608,-0.0006477449941966196,-0.001375955820472452,-0.007159918255033926
170.642,-0.0009793475850874422,-0.0020349403348114414,-0.00898992553589073
170.676,-0.0013505568181415573,-0.0027342116169633,-0.011029176854652876
170.71,-0.0016025584822566552,-0.0031511212472441485,-0.012975953577596396
170.744,-0.001366554924264629,-0.0025972015580635333,-0.016119723663003068
170.778,-0.0009106251391596265,-0.001669175081548513,-0.016429263487854673
170.812,-0.0006227428148507519,-0.0010974065239623965,-0.016154746918054737
170.846,-0.001039654242114052,-0.0017616585445900945,-0.015465717980596148
170.88,-0.001492740600965492,-0.0024375852490485794,-0.01630704811676997
170.914,-0.0019508509845082012,-0.0030692290608396178,-0.016379562309958292
170.948,-0.00239733321209723,-0.0036405389266240817,-0.015115628044131576
170.982,-0.002774619294729108,-0.0040911782740349345,-0.012833182049734935
