Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,wheelRight_velocity,wheelLeft_velocity,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
88.972,0.13064457035637728,-1.1948382558602537,0.1167798474814495,-1.1258352847479804,0.03505750988755698,0.22623163082519757,0.003391252231575085,0.002724600934604131,-0.03978811392014645
89.005,0.12680373865249178,-1.1596879706683758,-0.11534029140797279,1.0555641198762133,0.034028700999021715,0.21957877630596184,0.0033926818793086834,0.0025134726673327907,-0.03861760942325692
89.038,0.12948166366971395,-1.259595542257848,0.08041816868535032,-3.000227375059224,0.02871402028908612,0.2302493070503418,0.0035648363719334294,0.0024249356236798456,-0.04194453155718634
89.072,0.13337531328360924,-1.29756668413574,0.11692641483169053,-1.1402745308676299,0.02956997855275002,0.23718064801446848,0.003775008480538785,0.002339285722638294,-0.04320897058172015
89.105,0.12940964668464536,-1.2587796025033118,-0.11908908705597251,1.1647772261990472,0.02870727848438043,0.2301120148849103,0.0037560433534433385,0.002111833620920815,-0.041917360763360285
89.138,0.1481394665101207,-1.4189971106397465,0.5624570518160761,-4.811336580673716,0.03461969765894097,0.26165923536130037,0.004403053775907936,0.0022234017338283005,-0.047252603784303564
89.172,0.15261513003799626,-1.4618040447332625,0.13440431014641344,-1.2854935163218013,0.035670806459335264,0.26955945361665723,0.004640663715087679,0.002070438783378052,-0.04867807468961765
89.205,0.14815596358515148,-1.4190001374285601,-0.1339089024878311,1.285402621762835,0.03463595259086669,0.2616759745794363,0.004596286652971998,0.001791637815683799,-0.047252704576371055
89.237,0.16014755401573386,-1.1575491301425054,0.36010782073820935,7.851381600181823,0.06754362360433341,0.25275148442713424,0.005046947337675862,0.0017218502445917887,-0.03854638603374543
89.272,0.19242834351697236,-1.2746391364949452,0.9693930781152702,-3.5162164069801745,0.09045721259737674,0.294399474436568,0.006142963120117905,0.0018216911944467856,-0.042445483245281676
89.305,0.20195871774074287,-1.4272023306377926,0.2861974241372525,-4.581477301587007,0.08778253128971945,0.31613490419176626,0.006526537738468443,0.0016200147999165244,-0.0475258376102385
89.337,0.18689346739193338,-1.3407476577894701,-0.45240992038466915,2.596236421871544,0.07963365476877579,0.294153280015091,0.006102407525051954,0.001219341684941708,-0.04464689700438936
89.371,0.19252003757343972,-1.380915524898598,0.16896607151670676,-1.2062422555293661,0.08204679558155184,0.3029932795653275,0.006336539268245874,0.0009699939309703457,-0.04598448697912332
89.404,0.18680334224984535,-1.3397445002925876,-0.17167253224007106,1.2363671052855978,0.07962378222643834,0.2939829022732524,0.006184727166000644,0.0006618085895531652,-0.04461349185974317
89.438,0.17568475625759997,-1.2524389285264288,-0.3338914712386001,2.6217889419266913,0.07548964197548566,0.27587987053971424,0.005838110002313652,0.0003708756895391784,-0.04170621631993008
89.472,0.18093874380236977,-1.2897807740142682,0.15777740374684085,-1.1213767413765574,0.07775628188122832,0.2841212057235112,0.006023454256670814,0.0001271948718244244,-0.04294969977467513
89.505,0.17565346643407834,-1.2521225528146218,-0.15871703808682971,1.1308775135028932,0.07548366220890858,0.2758232706592481,0.005847521282557749,-0.00012404001548130836,-0.04169568100872691
89.537,0.21294210338613626,-1.1471710258317798,1.1197788874491867,3.1516975069922535,0.12116842131959386,0.3047157854526787,0.007077284875031693,-0.0004333692501093303,-0.03820079516019827
89.572,0.20953315749121484,-1.1784428468166281,-0.10237074759523757,-0.9390937232687199,0.11525772974588457,0.3038085852365451,0.006942234751363692,-0.0006956979540108868,-0.039242146798993724
89.604,0.20342490926630766,-1.1439444795404525,-0.18343087762484042,1.0359870052905589,0.11190935090307144,0.29494046762954385,0.006708733199944197,-0.000935465910502316,-0.038093351168697075
89.637,0.17958720891287513,-1.1472965051768926,-0.7158468574604361,-0.10066143052372682,0.08780348849872373,0.2713709293270265,0.00588678264079675,-0.0010511321751494158,-0.03820497362239053
89.672,0.1561340709973689,-1.2185972353856702,-0.7042984359010882,-2.14116306933266,0.058646292166515276,0.2536218498282225,0.005078000472487059,-0.0011146990389254172,-0.040579287938342826
89.705,0.15170505158077838,-1.1848008179069383,-0.13300358608379934,1.0149074317937525,0.05692098614822334,0.24648911701333345,0.004886692894542604,-0.0012796036264218027,-0.039453867236301045
89.738,0.13160935071784924,-1.0874873833011052,-0.6034745003882623,2.9223253635385307,0.04461036005376082,0.21860834138193763,0.004194394252839557,-0.0012696712617169697,-0.03621332986392681
89.772,0.13583142543375196,-1.1222359588060469,0.12678903050758913,-1.043500765914165,0.04605254872926819,0.2256103021382357,0.004277805812182151,-0.0014687451550560494,-0.03737045742824136
89.805,0.13183628109155857,-1.089119973832498,-0.11997430457037209,0.9944740232296981,0.04470668318495873,0.2189658789981584,0.004096709224731437,-0.001577422546966002,-0.036267695128622185
89.837,0.13479437379473708,-1.0406211566590293,0.08883161270806338,1.456420936140198,0.05154468126201473,0.21804406632745943,0.004128837394071195,-0.0017603091446982393,-0.03465268451674568
89.872,0.13890690787391435,-1.0723334646750722,0.12349952189721551,-0.952321562043329,0.05312023069990858,0.22469358504792009,0.004188356019472323,-0.001962543264769408,-0.03570870437367991
89.905,0.13482666407942862,-1.041193509305892,-0.12252984367825039,0.9351337948702774,0.05153118333495726,0.2181221448239,0.003995802870640157,-0.002046752768875164,-0.0346717438598862
89.937,0.14707079543098656,-1.0784329702192872,0.3676916321789171,-1.1183021295313889,0.06079615781344357,0.23334543304852953,0.00427717049072585,-0.002385020929567861,-0.035911817908302265
89.971,0.1548704366847355,-1.063580258440154,0.23422346107354156,0.446027380754753,0.06978401600952315,0.2399568573599478,0.0044115923699590345,-0.0026705121991484723,-0.035417222606057126
90.005,0.15033731293910477,-1.0325724636326596,-0.13612984221113283,0.9311650092340621,0.06773151584849199,0.23294311002971754,0.00418941091926796,-0.002740206382720034,-0.03438466303896757
90.038,0.11681653777065056,-1.0400415833223748,-1.0066298849385649,-0.22429788858003596,0.03361321110486056,0.20001986443644054,0.0031798929962922537,-0.0022402668954744184,-0.034633384724635084
90.072,0.12299272641148423,-1.0151716474455965,0.18547113035536567,0.7468449212245742,0.04177899461583652,0.20420645820713193,0.0032653666073319157,-0.0024718811129103456,-0.03380521585993837
90.104,0.11938573565120025,-0.9854727298529541,-0.10831804084936873,0.8918593871664392,0.040547917262963924,0.1982235540394366,0.003087943183902972,-0.0025036266889691306,-0.03281624190410337
90.137,0.15017297781615685,-1.039943326798833,0.9245418067554533,-1.6357536620384039,0.06697751167225023,0.23336844396006348,0.003775852473424431,-0.0032784205348368504,-0.03463011278240114
90.172,0.17087241533450115,-1.016786550038828,0.6216047302806095,0.6953987015016497,0.0895294913313949,0.2522153393376074,0.004166078272396706,-0.003875226973034664,-0.03385899211629297
90.204,0.16584615957504673,-0.9868725428705177,-0.1509386113950277,0.898318533582891,0.0868963561454053,0.24479596300468814,0.003915837901525579,-0.0038940250664510614,-0.032862855677588246
90.237,0.13248284712808617,-0.9868847028138483,-1.0019012746835,-0.00036516346338113793,0.05353207090297832,0.21143362335319404,0.0030241913428904143,-0.0032117635419893955,-0.03286326060370115
90.271,0.11894884580501541,-0.9741038931014535,-0.4064264661582809,0.3838080994713157,0.041020534356899126,0.1968771572531317,0.002619669888820737,-0.002970765524710905,-0.03243765964027841
90.304,0.115350149682634,-0.9451149179769478,-0.10806895262406632,0.8705397935286999,0.03974095624447817,0.19095934312078983,0.0024470802949975515,-0.002960589506357752,-0.03147232676863237
90.337,0.11492788895411352,-0.9578421942860947,-0.012680502357972603,-0.3822004897641723,0.038300513411225943,0.1915552644970011,0.0023434509843130668,-0.0030255049581053347,-0.03189614506972696
90.371,0.11842438848061687,-0.9871248362636778,0.10499998578088152,-0.8793586179454357,0.03945440157952265,0.1973943753817111,0.0023125344272664373,-0.003194092982457395,-0.032871257047580475
90.404,0.11495850422480049,-0.9582932614036218,-0.1040806082827743,0.8658130588605387,0.03829504331251073,0.19162196513709026,0.0021432672891759587,-0.003171695235714198,-0.03191116560474061
90.438,0.127902945148687,-1.0970809648826236,0.38872194966626156,-4.167798903273328,0.04013646795807712,0.21566942233929692,0.0022624352349424133,-0.0036083073565986424,-0.03653279613059137
90.472,0.131783407416447,-1.1303516769025315,0.11653039843123152,-0.9991204810783132,0.0413552732642445,0.22221154156864953,0.002191616293461105,-0.0038016429252946647,-0.037640710840854304
90.505,0.12793134178163806,-1.0973303838865927,-0.11567764669095924,0.9916304208990634,0.04014491107071066,0.21571777249256546,0.0019892448509539794,-0.003766889191510537,-0.03654110178342354
90.538,0.11445363661360425,-1.0072790437177022,-0.4047358909319464,2.7042444495162306,0.03387131311618808,0.19503596011102042,0.0016605297151613138,-0.0034303547001964256,-0.03354239215579949
90.571,0.1179429780521874,-1.0384671947111905,0.10478502818568014,-0.9365811109155666,0.034865602475292176,0.20102035362908263,0.0015897744095169106,-0.0035911482340891566,-0.034580957583882646
90.605,0.11449174016029026,-1.0080706006152638,-0.1036407775344485,0.9128106335113142,0.03384609211106916,0.19513738820951135,0.0014235986558992816,-0.003536626877192758,-0.033568751000488284
90.638,0.10995669182863226,-0.9521765619470627,-0.13618763758732752,1.6784996597057382,0.033782566872867244,0.18613081678439727,0.0012556507593832122,-0.0034393638604601033,-0.03170747951283719
90.672,0.11328504178108047,-0.9810489080912532,0.09995044902246882,-0.8670374217474637,0.0348011291337802,0.1917689544283807,0.0011789474000976619,-0.003583260802623651,-0.03266892863943874
90.705,0.10992413340965093,-0.9518198541589986,-0.10092817932220827,0.8777493673349732,0.03377854507693104,0.1860697217423708,0.0010315041347975574,-0.003511971641047171,-0.03169560114349466
