,Time,delta_position_x,delta_position_y,delta_yaw,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw
3623,123.541,-0.0012779937549045,0.0013054692933294,-0.0212362481320482,6.623449835656968e-08,-0.1070683936248477,-0.786166339812822,11.694471697787373
3624,123.575,-0.0009986642670973,0.0010623883110328,-0.019687017412246,-2.829162658811889e-05,-0.1107688048115636,-0.000886183158952,-0.1156378495848339
3625,123.609,-0.0008146174369918,0.0009006272740568,-0.0185152429760271,-4.087948022403693e-05,-0.1075816873890001,-0.0003814501101794,0.0965793158352963
3626,123.643,-0.0007494406902726,0.000861314822843,-0.0226573413337298,0.0275800022430359,-0.7180121963966297,0.8123788742133855,-17.953838500221217
3627,123.677,-0.0006272923769463,0.0007526278005072,-0.0203828826945482,-2.7246491498543822e-05,-0.3059574232057711,-0.8365832949858626,12.486508278510396
3628,123.711,-0.0005431767203796,0.0006782370119938,-0.017324965363552,-3.1610579924298115e-05,-0.2970225564867992,-0.0001283555419339,0.2627901976168829
3629,123.745,-0.000627913953958,0.0008118381719069,-0.0134412907443937,0.0276330125548567,-0.4122762544141607,0.8136653863169448,-3.3898146449217967
3630,123.779,-0.0005613692102297,0.0007445687667659,-0.0105148410038875,-2.629399014608581e-05,-0.0003296994957935,-0.8381608043939931,12.483228936919744
3631,123.813,-0.0004553755191589,0.0006161572934573,-0.0086466310417407,-4.567623295770145e-05,-0.000572666692733,-0.000587340691261,-0.0073626423314995
3632,123.847,-0.0003526691720181,0.0004849490193753,-0.0067748005422947,-4.675569329037721e-05,-0.000586250138923,-3.27109191719915e-05,-0.0004116195815171
3633,123.881,-0.0002525828278874,0.0003515722839918,-0.0049007279888324,-4.387155295363714e-05,-0.0005500978467411,8.482765696296357e-05,0.0010633027112346
3634,123.915,-0.000154406180544,0.0002166630660204,-0.0030250149210582,-4.942107461545033e-05,-0.000619722718973,-0.0001849840553937,-0.0023208290743965
3635,123.949,-5.752973586981014e-05,8.060830083170267e-05,-0.0011560586304186,-4.08505360490534e-05,-0.0005124049684736,0.0002316361774701,0.0029004797432256
3636,123.983,3.778140675869679e-07,-5.402935433010403e-07,-2.0600989777630477e-05,-2.245446844994973e-05,-0.0008057826423879,0.0005574565939122,-0.0088902325428565
3637,124.017,8.757180181007129e-07,-7.99529233902474e-07,-1.8111692244193733e-05,8.380356121051274e-06,-0.0010612679851362,0.0009343886233636,-0.0077419800832821
3638,124.051,4.425240569538858e-07,-3.610300809975264e-07,-2.4751123286481654e-05,-3.355045483786484e-06,-0.0009096180472377,-0.0003451588707306,0.0044602922911344
3639,124.085,-7.391412681911903e-08,1.0623248059699053e-07,-3.2742487904968705e-05,-9.909912193961273e-06,-0.000811017926594,-0.0001986323245507,0.0029878824437463
3640,124.119,-9.63885571358958e-08,1.350122122989461e-07,-3.316635039096738e-05,-9.762536331338022e-06,-0.0008413478054914,4.605495706977036e-06,-0.000947808715544
3641,124.153,-6.125471241347213e-08,8.78917141011737e-08,-3.253259641633477e-05,-9.600533764052629e-06,-0.0008142887921592,4.7647813907460185e-06,0.0007958533332997
3642,124.187,-5.1662635947025144e-08,7.519200610067722e-08,-3.238748537404135e-05,-9.462271643868415e-06,-0.000789952451593,4.066532946593741e-06,0.0007157747225375
3643,124.221,-5.382265833020484e-08,7.820734750085824e-08,-3.246113245980454e-05,-9.8155670116323e-06,-0.0008142616664489,-1.0705920235273423e-05,-0.000736642874422
3644,124.255,-5.395183722001207e-08,7.846296370267458e-08,-3.2493711195957786e-05,-9.868850435835497e-06,-0.0008145208812993,-1.5671595353877777e-06,-7.6239661890284275e-06
3645,124.289,-5.215202580899359e-08,7.612564119352516e-08,-3.2488495493865344e-05,-9.99728152351016e-06,-0.0008147131392632,-1.941086483466981e-06,-2.650033727811353e-06
3646,124.323,-5.042733342008887e-08,7.388486810561147e-08,-3.248344104944678e-05,-1.0363533021972733e-05,-0.000839496075855,-1.1098530256441198e-05,-0.0007509980785394
3647,124.357,-4.9037123250883496e-08,7.208374299544351e-08,-3.248325074878267e-05,-9.820233869694204e-06,-0.0007909117893946,1.5979386831725283e-05,0.001428949601776
3648,124.391,-4.773153428061505e-08,7.038789390234612e-08,-3.2483169654540234e-05,-1.0492128288849096e-05,-0.0008403991224589,-2.099670059858332e-05,-0.0015464791582584
3649,124.425,-4.643682194327425e-08,6.87124634968228e-08,-3.248201416505836e-05,-9.936818928834518e-06,-0.0007916848968088,1.586598171470375e-05,0.001391835018575
3650,124.459,-4.5193486730710226e-08,6.709430510482006e-08,-3.248046837667218e-05,-1.0281525817390113e-05,-0.0008149947291257,-1.044566328956309e-05,-0.0007063585550588
3651,124.493,-4.4018157563385785e-08,6.555602239527447e-08,-3.2478886641484905e-05,-1.0653751920665153e-05,-0.0008404802089968,-1.163206572734628e-05,-0.0007964212459699
3652,124.527,-4.2901988184240736e-08,6.409120049954975e-08,-3.247735595524048e-05,-1.0082494283585034e-05,-0.0007917351872168,1.6321646773719266e-05,0.0013927149079987
3653,124.561,-4.172875733843284e-08,6.261755640390998e-08,-3.24745024351536e-05,-1.0426913860328174e-05,-0.0008150071810319,-1.0436956871003835e-05,-0.0007052119337905
3654,124.595,-4.0550527824478884e-08,6.117569750080376e-08,-3.2471166762082504e-05,-1.0800343097195989e-05,-0.0008404506499749,-1.166966365212051e-05,-0.0007951084044677
3655,124.629,-3.9415790631380794e-08,5.975615949976866e-08,-3.246778463905642e-05,-1.0218121230663555e-05,-0.0007916690594199,1.663491047235006e-05,0.0013937597301409
3656,124.663,-3.8323739737222695e-08,5.834657879760786e-08,-3.246434291082068e-05,-1.056333695714744e-05,-0.0008149220178665,-1.0461082620723333e-05,-0.0007046351044415
3657,124.697,-3.725485919758853e-08,5.6965759699656455e-08,-3.24608767039436e-05,-1.0606516724469277e-05,-0.000814888381129,-1.30847779763188e-06,1.0192950754112798e-06
3658,124.731,-3.620773458834492e-08,5.561253629826624e-08,-3.2457379031569644e-05,-1.0649519036658e-05,-0.0008148515609712,-1.264773887903429e-06,1.0829458189699116e-06
