Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
-1.570613052582846,-1.5730095904885697,4.650037855536024e-06,8.52232019207386e-10,-4.650037777439947e-06,0.0002424855572773,-3.4340975772123834e-05,0.0004521463300749,7.194141104619159e-07,1.12483729538225e-07,1.1047475386716243e-05,2.9106796101760026e-11,-1.5484625785451213e-07,8.074769057334362e-06,-3.353589730373316e-06,1.093,7.456152012465094e-09,3.353581441602773e-06,-1.57301966320598
-1.570604977813789,-1.5729985425343544,3.832433674914402e-06,7.33332274382545e-10,-3.832433604753209e-06,0.0002625302317154,-2.455267809674541e-05,0.0006019421753206,7.194405699673128e-07,1.1249848033256268e-07,1.104795421502658e-05,2.5062119221908768e-11,-1.2762003891299353e-07,8.742256716125627e-06,-3.353840533299548e-06,1.127,7.419658109950042e-09,3.353832326082586e-06,-1.5730086156883392
-1.5705962355570728,-1.572987494101424,2.983023375725216e-06,5.96876835723318e-10,-2.9830233160103037e-06,0.000264642695358,-2.550781679246804e-05,6.3437346623639e-05,7.194670158245933e-07,1.1251323082591909e-07,1.1048432930538254e-05,2.037932042685628e-11,-9.933467632111605e-08,8.812601755423114e-06,-3.354323689266801e-06,1.161,7.348788499752198e-09,3.3543156392450647e-06,-1.5729871691402684
-1.5705874229553174,-1.5729764451898778,2.410458433563078e-06,5.035540182548733e-10,-2.410458380965893e-06,0.0002723566384043,-1.71941424072714e-05,0.0002316499413298,7.19493449398866e-07,1.1252798119698933e-07,1.1048911546129858e-05,1.718537307634558e-11,-8.026826399739862e-08,9.06947605886438e-06,-3.354571712454967e-06,1.195,7.312267554179088e-09,3.3545637428354625e-06,-1.5729761202146464
-1.5705687944403532,-1.572965395799803,1.5853497841351088e-06,3.60718366046636e-10,-1.585349743097559e-06,0.0002836503076557,-1.274958041419914e-05,-0.0001023398715776,7.195198719310885e-07,1.1254273160447689e-07,1.1049390074457932e-05,1.2296124097465799e-11,-5.279214637902303e-08,9.44555524493624e-06,-3.354813328488977e-06,1.229,7.276815902003102e-09,3.354805436527969e-06,-1.572965395799803
-1.5705593488851084,-1.5729543459312776,1.2970791211756626e-06,3.0737909608915944e-10,-1.2970790847546343e-06,0.0002876736604097,-8.656776665448835e-06,0.0001208214040239,7.195462846356553e-07,1.1255748222013807e-07,1.1049868525736528e-05,1.047114122827432e-11,-4.31927334655408e-08,9.579532891644371e-06,-3.3550547383897595e-06,1.263,7.241357109524121e-09,3.3550469237163867e-06,-1.572954670934239
-1.5705497693522168,-1.5729431936157665,1.092873190229773e-06,2.6945601622632886e-10,-1.0928731570115797e-06,0.0002998372501251,-6.132310238615301e-06,0.0003652729644272,7.26197669867138e-07,-8.912853317367964e-07,1.1152315511075985e-05,9.178611080969046e-12,-3.639267607682562e-08,9.984580429168136e-06,-3.35530271671149e-06,1.2970000000000002,7.2048152057859825e-09,3.355294981280983e-06,-1.5729436206013987
-1.570547376035223,-1.5737334550971418,0.218017484739393,5.427561788729869e-05,-0.2180174779834148,-0.0615240394154786,0.3536045226091886,-1.848180630139559,-1.6029878628742562e-05,-0.0055801338976019,-0.0002425949687543,-5.624770311183369e-06,-0.0072599787931836,-0.0020487505125354,0.1697434025607618,1.535,-0.0004906870172322,-0.1697426933306878,-1.5736870883398808
-1.5725961265477588,-1.5740259366949132,0.2180145158689159,-0.0003923822599418,-0.2180141627640734,-0.061508147531102,-8.915526958172356e-05,0.0004772337650642,-1.9324716314411917e-05,-0.006107773271195,-0.0002924815977713,-2.049643327823169e-05,-0.0072598531761096,-0.0020482213127856,0.1831985168644602,1.569,-0.0005798112918808,-0.1831975993298048,-1.573961266499571
-1.5746443478605443,-1.5744263498905593,0.2246213402915595,-0.0008643455161332,-0.2246196772796305,-0.0633769865703126,0.1984031358151238,-0.0561212924687879,-2.6450489158096514e-05,-0.0064256707979801,-0.000400413195646,-3.6670662770301605e-05,-0.0074797993528193,-0.0021104536527914,0.1906865319979282,1.6030000000000002,-0.0006741002062568,-0.1906853404808791,-1.5743314564301687
